,Number,Name,Review,Stars,Sug/Com
17,609,Gohil Umesh,"
This item is closed


A band ho gya he Krupa karke muje badal dijiye
",1.0 out of 5 stars,0
18,666,Manoj Kumar,"
Not so well.


काम चलाऊ साउंड।
",3.0 out of 5 stars,1
19,670,Vinay Vishwakarma,"
Battery life


साउंड क्वालिटी पसंद हैबैट्री क्वालिटी नापसंद है
",1.0 out of 5 stars,0
20,740,MOHAR SINGH,"
एक अच्छा स्पीकर है


कहीं पर भी बाहर जाने के लिए मैंने इसका उपयोग किया
",3.0 out of 5 stars,1
21,749,Satyapal jaiswal,"
Boat sb ka bap hai


Jbl aur sony ki what lgane aaya boat
",5.0 out of 5 stars,1
22,758,Uvesh Khatri,"
Bakwaas


Battery life bakwaas
",1.0 out of 5 stars,0
23,836,PAWAN KUMAR TIWARI,"
Very bad


Kuch nahi kaha mujhe
",1.0 out of 5 stars,0
24,838,DN Gupta,"
Battery is not good but voice is good


बैटरी बैकअप सही नहीं है वायस क्लियर है
",3.0 out of 5 stars,1
25,862,Hemant j.,"
बहुत अच्छा प्रोडक्ट है


साउंड क्वालिटी और बैटरी बैकअप बहुत अच्छी है
",2.0 out of 5 stars,0
26,863,Bijesh Kumar,"
कुछ अच्छा नहीं लगा। ।।


इस प्रोडक्ट की सभी क्वालिटी अच्छी नहीं है। ।
",1.0 out of 5 stars,0
27,879,Shyamlalprasad,"
sound thik nhi hai


Sound bhut km hai ar battery bhi bhut km chal rha hai
",1.0 out of 5 stars,0
28,889,PARVEEN kumar,"
बेकार प्रोडक्ट


मेरे लिए यह बिल्कुल बेकार है कृपा वापिस ले
",1.0 out of 5 stars,0
29,897,Samarth S.,"
Bass


Acha hi hoga
",1.0 out of 5 stars,0
30,1014,Ravi pareek,"
Bass and treble dono ek saath nhi aate hain


Not a good product
",4.0 out of 5 stars,1
31,1036,ANIL KUMAR BAIRWA,"
Bakwas


Bakwas
",3.0 out of 5 stars,1
32,1048,pankaj,"
Plzz refund me product is very poor


Bhut bakvass he bhai refund kardo
",1.0 out of 5 stars,0
33,1066,Kuldeep singh,"
Saund is good क्वालिटी


Osm perfect music
",5.0 out of 5 stars,1
34,1086,Dhananjoy Ghatak,"
Spekar is best qualiti


Nice
",5.0 out of 5 stars,1
35,1088,radha,"
Acha ha but Esme likha ta 10 hours chlega pr ya 3 4 hours chalta bt tk ha


Like
",4.0 out of 5 stars,1
36,1279,Royal bramhan,"
Mst quality hai


Very nice quality for it items or iska battery back up bhi bahut badhiya hai or ye ruffly use ke liye bahut badhiya hai
",5.0 out of 5 stars,1
37,1301,Deepak,"
bass is so avarage , bass hai lekin clear nhi h


bass h toh sound khtm h , or kisi song m toh clearly pta bhi nhi chlta,third class h
",2.0 out of 5 stars,0
38,1305,Shahbaz,"
Lovely Bass






                    The media could not be loaded.
                



 Bhai bole to ek dam fantastic h weight bhi bahot kam hAur Bass ki baat hi na karo ek dam jhakkashBattery backup good valume bhi bahot juade h bass ke saath Agar meri ray lo to itne kam daam me to top up h
",4.0 out of 5 stars,1
39,1322,Biswajit sarkar,"
Just wow 😯😯


Chota packet bada dhamaka 💣💣💥💥
",5.0 out of 5 stars,1
40,1339,Pawan Kumar,"
Almost excellent product it is.


Sound and bass 🔊 quality dhasu hai but battery backup kum hai 10hrs bataya gaya hai or 5 hrs work krta hai.
",5.0 out of 5 stars,1
41,1362,Soniya Kotnala,"
Amazing Product


Simi ko bohot psnd aaya
",5.0 out of 5 stars,1
42,1388,Krishankumar,"
गागर में सागर






                    The media could not be loaded.
                


",5.0 out of 5 stars,1
43,1412,Rajan kumar pandey,"
Thik thak


Thik thak
",4.0 out of 5 stars,1
