,Name,Review,Stars,Sug/Com
10,Bhabani shankar hantal,"
This product are truly and pure made in india product please buy this product


Hello guys ye jo MIVI ka product he ye bahut hi acha kaam karta he aur sabse badi baat ye pure made in INDIA  product he aur sound quality ho ya charging capabilities ke bare me bolun to bhut hi acha he aur mic ka quality v bahut hi acha he aur kafi comfortable he I think ki ₹1199/- me isse acha products mene ajj tak naidekha...so buy it...JAI HIND
",5.0 out of 5 stars,1
11,Amit Singh Choudhary,"
Fraud with customer


Bhai maine mivi duopods A25 2 month phle purchase kiye tha lekin just 3 din phle 1 side wala kharab ho gya or maine warranty claim krne ke liye emil kiya WhatsApp pe message kiya lekin koi reply hi nhi aa rha call kiya lekin koi call recive nhi krta hai jab warranty dena hi nhi to likhte kyo ho
",1.0 out of 5 stars,0
12,md iftekhar khan,"
This is nt for pubg player or any other games


Bhai pubg players ke liye ekdam bakwas h.. Left right foot steps sound ekdam hi nhi h pata hi nhi chalta ye sirf movie dekhne walo ke liye sahi h
",2.0 out of 5 stars,0
13,Nilesh,"
Dont buy


Pls don't buy mene ye product lene ke baad 2-3 months me hi ek side ka sound aana band hogaya mene warranty may product ko thik karne ke liye dene kye baad unka koi email nahi aaya or mere email ka bhi koi jabab nahi aata hye isliye is product ko koi maat kharidna
",1.0 out of 5 stars,0
14,uttam rana,"
Never buy this


Pahle toh yeah khrb ho jaega jaldi firJab iski warranty policy aisi h ki iska koi customer care helpline no nhi h site pe error batayega aur email ka jawab nhi aayegaPura fraud h bss khrb chiZO KO ASSEMBLE KRE BNA DIYA H ISSI JALDI KHRB HO JAYEGAMT KHARIDNA KABHI BHI
",1.0 out of 5 stars,0
15,Amazon Customer,"
Low budget best product


Is price point pe bhout achha hSound average haiBase v average hai price ke hisab se bdya hLe lo bhai bhout achha product hai
",4.0 out of 5 stars,1
16,Abhishek Kumar Sinha,"
It’s Too good in this Price segment.


यदि आपको एक wireless HeadPhone ख़रीदना है तो कम Price में ये भी एक बढ़िया HeadPhone हैं जहां आपको Base अच्छा मिलता हैं Build Quality इसके Price के हिसाब से ठीक हैं जहां तक Price की बात है वो भी इसके Quality के हिसाब से बढ़िया हैं । मैं इसे Rating में 5/5 देता हूँ.धन्यवाद
",5.0 out of 5 stars,1
17,chitrakumar adil,"
Low sound quality


Ita mono sound.  quality is very not good.Stereo speakers नहीं है।बहुत ही महंगा लगा यह 400 रूपए के लायक है।मै खरीद कर पछत रहा है। स्टिरियो साउंड नहीं मिलेगा और न बेस साउंड है
",3.0 out of 5 stars,1
18,Dev Awasthi,"
One week review


phone pe baat krne me problem,Dono ek sath on nai hota haiKabhi kabhi ek bajta hai ek nai bajta hai.And call pe baat krne pe samne wala ka voice repeat ho jata hai , always aisa hua h..Bahoot badi galti kr diye ham yeh leke....
",3.0 out of 5 stars,1
19,kavita Tadlapurkar,"
Good


आवाज साफ सुनाई देती है पर म्युजिक थोडा कम सुनाई देता है. पर प्रॉडक्ट अच्छा है.
",4.0 out of 5 stars,1
20,Manoj sharma,"
Charging is not working


Bhai ye batoge esko charge kese krna h kuki muje lgta h tum log charge ka option dalna bhul gye esse pura dina lago tab bi charge nji hota ye
",3.0 out of 5 stars,1
21,VISHAL,"
Not recommendable


1) Charging box me rakhne ke baad bhi bluetooth se connect hota hai2) call receive karne ke baad samne vale ko aavaj nahi jata hai3) Box me bluetooth fit nahi baithata hai
",2.0 out of 5 stars,0
22,Surender,"
Totel waist of money nd time


Duniya ka sabse ghatiya product h ye mivi. Made in India h is liye badiya to ho hi nhi sakta. Bhai jis pr paise jayada ho rahe ho le k dekh liyo. Do bar change karya. Dono bar kharab. Colony mai km se km dus order the mivi k. Sare k Sare kharab.
",1.0 out of 5 stars,0
23,Adarsh,"
It's amazing


Such a Very intusting productAnd battery backup is really dhamakedaarEk baar charge kar ke me atleast 1 month ke lie ise charge karna bhul jata huAccording to my use
",5.0 out of 5 stars,1
24,💞💞Rahul Goswami💞💞,"
It,s soo amazing sound 😘😘


Kya bolu iss product ka bara me jitna v Tarif karu kam hai ❤️❤️mena sara din Apna mob me khoja last point me mivi ka selact kiya .it,s soo amazing sound 😘 .bass Quality soo GoodBettery becape awesom.Tqsm Amazon.😘😘
",5.0 out of 5 stars,1
25,Amazon Customer,"
Bekar product charging problem he isme


Baker product charging problem he isme ise charge kar rha tha nhi ho rha he
",1.0 out of 5 stars,0
26,rohit jha,"
Good sound and bass


Bhot shi headphone hai bhai log mast bass hai iski Or battery life toh kamal hai maine khud 3 mivi bluetooth order kiye hai 😊 very nice quality
",4.0 out of 5 stars,1
27,Awadh,"
Fell liky dolby


Ek headphone me kya chahye battery sound ye dono bhai log kut2 kar bhara hua hai koi is price me iska takkar nhi kar skta hai superb bass quality👌
",5.0 out of 5 stars,1
28,Yogeshwar,"
Worst product i have ever bought


Sab kuch bekar hai isme.aur haa 2-3 mahine ke baad ek earbud kharab ho jayegi aur kisi kaam ke nhi hai.itne bekar hai kasam se ki gaali dene ka mann kr raha hai😡
",1.0 out of 5 stars,0
29,Sucha rai,"
Mivi duopods A25 Bluetooth






                    The media could not be loaded.
                



 Hello sir hamen is product mein dikkat ho rahi hai aur Van chalta hai Van Nahin charge hota ISSA exchange kiya jaaye
",3.0 out of 5 stars,1
30,Sunil Kumar,"
Koi mat lena Sabse bekar hai


Sabse bekar hai mivi À25 4 din ke ander hi kharab ho gaya charge hi nahi kar raha h charging Cesh mai sabko suggest karunga koi mat lena warna app ka paisa barbad hoga jese Maira ho gaya
",1.0 out of 5 stars,0
31,Dinesh Kumar Tiwari,"
ठीक से काम नहीं करता हर दो मिनट बाद लेफ्ट साइड का पावर आफ हो जाता है


ठीक से काम नहीं करता हर दो मिनट बाद पावर आफ हो जाता है फिर कान से निकाल कर दूबारा लगाने से कनेक्ट होता है फिर एक दो मिनट बाद डिस्कनेक्ट हो जाता है
",2.0 out of 5 stars,0
32,raju sharma,"
सबसे खराब 2 दिन में ही राइट वाला काम नहीं कर रहा है


वेरी बेड प्रोडक्ट है , 2 दिन में खराब हो जाता हैं
",1.0 out of 5 stars,0
33,Gurkiran Dhaliwal,"
Don’t Buy


Koi Faida Nai Lene Ka Bkwas Hai IPhone pe To Bar Bar reconnect Ho Rha Hai Aur new leya Hai Bt Ek Side ka Touch nai Chl Reha
",1.0 out of 5 stars,0
34,B K SINGH,"
☺


घटिया products mivi a25 ए 42 दिन अच्छी चली फिर चार्जिंग नहीं हो रहा 👎👎👎👎👎Wrost products
",1.0 out of 5 stars,0
35,Dhanu kumar,"
not work


Very bed poor mivi product in air burds modal a25 not work an full chage hane ke bad bhi bina alart ke hi band hona or full charge bhi na hona or not lasting
",3.0 out of 5 stars,1
36,Azam,"
Bakwas


Bhai koi bhi mat lena bakwas hain ek dum... 2 month me hi kharab ho gaye warranty me hain mail krte krte thak chuka hu change bhi nhi kar rahe.....
",1.0 out of 5 stars,0
37,JYOTI GEHLOT,"
👍good


1.sensor hmesha kaam nhi krte2.case kb Aur kitni der charge krna h isllw liye bhi koi indicator nhi hBaki sb bdhiya h price range k hisaab se3.touch control  kaam nhi krte
",4.0 out of 5 stars,1
38,Rahul Vaid,"
Nakli Quality


Nakli Sa lg raha h hath me pkdne me or sound khrab h nkli sound a raha h a20 Acha tha bike pr to bilkul bhi use nhi hoga
",2.0 out of 5 stars,0
39,Ankit kumar,"
Good battery performance I ever seen in this price range


Isme ek dikkat hai iski rubber ki wajah se charge sahi se nahi hota mene iske dakkhan pe double tap lagaya tab charge hota hai kyuki magnet power low.
",4.0 out of 5 stars,1
40,Chandan,"
Bekar h


Theek h but kb nikl jaye pta nhi chlta and agar Bhai kisi ne purchase kr liya to Amazon wale return nhi le jate
",3.0 out of 5 stars,1
41,rushi alvi,"
Wast of mony......


Bohot zada bahar ki aawaaz pakarta hai ye airbads bilkul na le isko ...wast of mony hai ... ..bilkul Awaaz clear nhi aati ....bekar hai
",1.0 out of 5 stars,0
42,Nabeesa aboobakar,"
Dekho case bilkul bhi durable nhi hai aur connectivity bhi poor hai






                    The media could not be loaded.
                



 Mai keh rha hun bilkul accha experience nhi tha mera aap na hi lo to behtar hai
",2.0 out of 5 stars,0
43,अभिषेक कुमार वर्मा,"
आवाज़ सही है पर बास सही नहीं है


बास उच्च हो और बैट्री बैकअप और बढ़एकान मे ढीला हो रहा है इसका आकार सही नहीं है सिर हिलाने पर ढीला होकर गिर जाता है
",1.0 out of 5 stars,0
44,krunal patel,"
Very bad service by mivi


Very bed service by mivi kabhi bhi koi product mat lena mivi ka kyo ki warranty sirf dikhane ke liye likhte hai kabhi Clem nahi milta ao don't buy mivi products
",1.0 out of 5 stars,0
45,Kamlesh Kumar Mali,"
lacement nahi karte hai


Battery not charging Very bad product COUSTMER ko warranty dete hai,  our replacement nahi karte hai COUSTMER ke sath products karte hai
",1.0 out of 5 stars,0
46,Abhi4,"
Avarage hai sab per battery mai pagal bna rahe h


40 hour bol ke pagal bna rahe h uper se stiker lga ke de rahi hai 40 hour warna 30 hour hai stiker hta ke
",3.0 out of 5 stars,1
47,Priyanka Joshi,"
Bass and volume


Gaane sunne hai to you can go for it.. baaki jehar cheez hai.  Fir hai achi trah se fayde mein rhogeAur offer laga lena 30 rapye kam ho jayega
",5.0 out of 5 stars,1
48,ajinkya thakur,"
Thik thak hai


Calling ke useless hai
",4.0 out of 5 stars,1
49,Rohit pal,"
👌


Bawal chezz hai 🔥
",5.0 out of 5 stars,1
50,sharique,"
Mivi






                    The media could not be loaded.
                



 Bhai case charging me gadbadi h aur 3 month ho gya h claimed kiye hue abhi tk kuch bhi nahi hua
",5.0 out of 5 stars,1
51,Arjun sen,"
Best


Is prize me bhut hi jordaar product hai...Bass ek dum mast hOr bettery backup bhi accha hKul milakr best h is prize me...ek no..
",5.0 out of 5 stars,1
52,Tushar Verma,"
I like this earbuds.


साउंड क्वालिटी थोड़ी और बेहतर होनी चाहिए थी और नॉइस कैंसिलेशन थोड़ी और बेहतर होनी चाहिए थी और बॉस की गुणवत्ता थोड़ी और डीप होनी चाहिए थी |
",4.0 out of 5 stars,1
53,Manish sharma,"
Charge problem


Ye product lena mtlb payse bardad krna h ye product charge hi nhi hota h jo earpods charge hi nhi hota h toh wase product ka kya kre aap hi batao
",1.0 out of 5 stars,0
54,ranjit tiwari,"
व्हाट्सएप पर मैसेज भी किया इसके बाद भी कोई रिप्लाई नहीं देती है 1 साल वारंटी है सिर्फ कागज का






                    The media could not be loaded.
                



 साउंड में दिक्कत है रिटर्न आवाज अपना कनेक्शन कभी-कभी छोड़ देता है
",1.0 out of 5 stars,0
55,Madhav kumar,"
Mivi duopods is left side system is kharab


मेरा मिवी दुओपोड्स a25 लेफ्ट साइड का सिस्टम खराब हो गया है उसका बैटरी नही चल रहा है  प्लीज हेल्प मी
",2.0 out of 5 stars,0
56,jai aditya,"
Bad product


Bhut he bkwas product hai noice cancellation bhut bekar hai . Voice flacuation hai bhut jyada
",1.0 out of 5 stars,0
57,ashish ,"
Issue with helmet


All gud… bas helmet me dikkt hoti h
",4.0 out of 5 stars,1
58,Rishikesh Rishab,"
Best item in this price.


Best item hai....... Battery life bhi mast hai and deep bass bhi hai. Gaming experience bhi achha hai..... Mujhe koi dikata nhi aai.
",5.0 out of 5 stars,1
59,7974224099,"
Sound quality is bad


👎 sound quality shi nai h .. maine iss product ko return ke liye dala pr kisi ne koi response hi nai kiya na hi return hua
",1.0 out of 5 stars,0
60,SATISH bhardwaj,"
Charjing nhi ho rha hai






                    The media could not be loaded.
                



 Kharab charging  nahi ho raha hai
",3.0 out of 5 stars,1
61,milan,"
Ekdum gtiya products


Ek dum ek no ki ghtiya proudct hain our customers care num bhi bandh aa RHA hain replace bhi nhi ho raha hain
",1.0 out of 5 stars,0
62,Adnan,"
Very bad connectivity every time disconnected.


Bht hi wahihat bekar bandaal product hai. Bar bar disconet ho jata hai or sir hilane par bhi voice nahi aati
",1.0 out of 5 stars,0
63,Aman khan,"
back Up


Achhi hain Bt sound quality kuchh khas nhi hai  dekha jay to back-up zada achha hai !
",4.0 out of 5 stars,1
64,Vishwajeet nishad,"
Calling voice problem.


Product acha hai bs esme call krne pr voice 2 2 bar sunae deta hai
",3.0 out of 5 stars,1
65,Awadhesh Kumar mishra,"
Voice problem


Voice problamदोनो एक साथ नहीं चलता वाइस प्रॉब्लम भी हैमेन प्रॉब्लम वाइस है
",5.0 out of 5 stars,1
66,Shubham sharma,"
Muje replace krna h left wala nhi chal raha hai?






                    The media could not be loaded.
                



 Left wala nhi chl raha hai
",1.0 out of 5 stars,0
67,Rathindra nath pal,"
Touch problem and connectivity problem


Touch problem and connectivity problem . Bhai price kam hai but paisa tho lagra hai akdam faltu
",1.0 out of 5 stars,0
68,Muskan Tamrakar,"
Bahut behtarin.


Bahut badhiya product hai. Bass, sound sab top me hai. ❤
",5.0 out of 5 stars,1
69,Sanket,"
Poor Quality


Bekar product hai 15 din me kharab bhi ho gya  isse jada ghatiya kuch ho hi nhi skta aur ab to replace bhi nhi kr skte
",1.0 out of 5 stars,0
70,Abhinav Mishra,"
Calling problem


Isme call par baat krne ke kafi dikkat aati h hmari awaj nahi sun pata samne wala .
",2.0 out of 5 stars,0
71,Aditya verma,"
Bilkul bhi sahi nhi hai koi bhi iske puchh paise barbaad na karna


Iski Voice quality or bass quality bilkul low haiWorst item I have ever seen in my life
",1.0 out of 5 stars,0
72,Abhishek singh,"
worst product


sbse khrab product ekdm khali dba aayaundr na to earbuds h na uska dba
",1.0 out of 5 stars,0
73,ATUL,"
घटिया प्रोडक्ट है






                    The media could not be loaded.
                



 बहुत घटिया प्रोडक्ट
",1.0 out of 5 stars,0
74,vicky,"
Sahi nahi hai waps bhi nahi ho raha hai


Sahi nahi hai waps bhi nahi leraha hai no costmer spotting
",1.0 out of 5 stars,0
75,JaiKishan,"
Maic bahut kharb h


Prodect kharb h maic bahut he kharb h bat nhi kar sakte h
",1.0 out of 5 stars,0
76,ramesh solanki,"
घटिया खराब सर्विस सिर्फ मेल करते रहते हैं


बेकार सर्विस very poor Amazon को ऐसे product नहीं बेचने चाहिए
",1.0 out of 5 stars,0
77,Deepak Rajput,"
He is nice


Aacha hai sound eska
",3.0 out of 5 stars,1
78,Monika Sharma,"
Bass ek dum mast hai


Bass ek dum mast hai baat nhi ho paati thik hi hai me 5 me se 3 start dunga
",5.0 out of 5 stars,1
79,Dilipchak,"
Koi bat lena Isme warranty to hoti hai Lekin koi Jacob guaranty nhi western


Ak Taraf ka saund 2manth me work karna band kar deta Hai  pls koi mat lena
",1.0 out of 5 stars,0
80,Rishabh uttam,"
Connecting problem


Voice achi h but connection problem hai mean chalte chalte apne aap voice katne lagti h
",2.0 out of 5 stars,0
81,Abdallah Khaja,"
Worth for cash,


wo chini earpod nai lene 4 paise zyada daalo, aur brand lelo!!
",5.0 out of 5 stars,1
82,sujeet kumar,"
Ee ka bawasir bana diye ho be.. 😆😆😆😆😆😆


Got defective one ..
",1.0 out of 5 stars,0
83,Atul,"
Tataly good






                    The media could not be loaded.
                



 Calling m thodi dikkat hai baki sab badhiya
",5.0 out of 5 stars,1
84,Nirmal,"
Best product


One of the best productNo words to say...Bs itna bolunga jaldi kro kahrid lo
",5.0 out of 5 stars,1
85,Subhash Kumar. ,"
bad product nlhcmg kffkufclg। Jmh


Bad itme. Bhaut faltu product charging problem kvi mat buy krna  ...Not successful
",1.0 out of 5 stars,0
86,Devender Kumar,"
Bahut bekar product hai pese vapis chiye






                    The media could not be loaded.
                


",1.0 out of 5 stars,0
87,Tushar Bhorkar,"
Bekar hai maat lena bhai mivi k aache nhi aarhe product ab


Mivi product are not good Charing bht jaldi jaa rha hai
",2.0 out of 5 stars,0
88,Deepak Kumar,"
Not satisfied.. connect hone me time lgta hai & calling ke time pe voice distrubnce aati hai


Not satisfied.. connect hone me time lgta hai & calling ke time pe voice distrubnce aati hai
",1.0 out of 5 stars,0
89,jubir,"
touch acha kaam nhi kar rhai hai


Touch acha kaam nhi kar rhai hai or sound quality bass thik hai jada achi nhi hai
",2.0 out of 5 stars,0
90,Rahul Ghosh,"
Product is not good. calling quality is too poor. Low price bt not good .


Bad quality ekdam. Koi lega to samajh lo bhi uska loss e hoga
",1.0 out of 5 stars,0
91,Omkar Kshirsagar,"
Connection


Poket me phone rakhne ke baad connection loss ho raha he
",2.0 out of 5 stars,0
92,Chanchal singh,"
Bakbass itam mat lena


Bakbas itam mat lena 200/  300/ rang ka hai ye
",1.0 out of 5 stars,0
93,Pravin Naidu,"
Awaaz clear nahin Jana


दूसरे की आवाज क्लियर नहीं आती और उसको सही सुनाई नहीं देता
",1.0 out of 5 stars,0
94,sajal Agrawal,"
Bilkul hi ganda hai isse accha na leta to theek tha


Very bad zindgi mai kabhi is company ke product nhi kharidunga
",1.0 out of 5 stars,0
95,sangram singh,"
Nice product it's Beautiful luck


Sound quality mast Hai Bhai. Jaldi se le lo kahi moka nikal na jaye Dosto...
",5.0 out of 5 stars,1
96,Chitransh Rawat,"
Connection m dikkat h


Connection m dikkat rhti h
",1.0 out of 5 stars,0
97,Subhash Singh,"
Bht bekar h


Bht bekar h bhai mtt dena
",1.0 out of 5 stars,0
98,Gaurav Tiwari,"
Power nhi h but price range me sahi h...


Etne me Etna he milta h 😅🤣🤣😂
",3.0 out of 5 stars,1
99,Suleman,"
Please use koi mt lo ye fake product de rhe hn mene phele hi use kre hn but ye product fake he


Iska na sound achi he na hi quality .or origanal ki to baat hi laga he
",1.0 out of 5 stars,0
100,Ronak Boruah,"
No bass


No bass bekaar bass h.. mat lena. Isse acha wecool h
",2.0 out of 5 stars,0
101,Choudhary,"
Sound low


Aavaj aage pichhe aa rhi he😡😡
",1.0 out of 5 stars,0
102,Rizwan Ahmad,"
Everything ok but , thode door jane ke baad discount ho jate hay


Everything ok but , thode door jane ke baad discount ho jate hay
",3.0 out of 5 stars,1
103,Mayank,"
Not good


Bekaar mtlb bilkul low quality
",1.0 out of 5 stars,0
104,Prakash pandey,"
Calling me awaz nhi jaa rhi thi


Mike was not work properly
",2.0 out of 5 stars,0
105,MD neyaz uddin,"
mast hai bhai


nice
",4.0 out of 5 stars,1
106,Shishupal,"
achha nahi hai






                    The media could not be loaded.
                



 acha nahi
",5.0 out of 5 stars,1
107,Anil kohli,"
Looking good


Music sunne ke liye
",5.0 out of 5 stars,1
108,Krunal jadav,"
Dono alag alag connect hote h ek sath dono use kese kare ab😡😡


Dono alag alag connect hote h iska kya karna ab 😡😡😡
",1.0 out of 5 stars,0
109,Aftab Hussain,"
Warranty nahi mila


Mujhe Warranty ka kuch nahin mila abhi tak
",1.0 out of 5 stars,0
110,Abhinav,"
Cheater company. Used और घटिया product बेचते है, complain करने पर product replace भी नहीं करते हैं


Voice echo होती है सामने वाले के फोन पर
",1.0 out of 5 stars,0
111,urjaram,"
साउंड क्वालिटी सही नहीं है


मीवी ब्लूटूथ कि साउंड क्वालिटी सही नहीं है वह आवाज बिल्कुल कम है
",1.0 out of 5 stars,0
112,awanish tripathi,"
ghatiya products h mivi ka....galti se bhi mat lena wrna pachtaoge aap log


ghatiya products h mivi ka....galti se bhi mat lena wrna pachtaoge aap log
",1.0 out of 5 stars,0
113,Subiya Mehreen,"
Samjhdar ko ishara kafi hai

",2.0 out of 5 stars,0
114,Ayush,"
Bad


Call me awaj nhi jate h sal
",1.0 out of 5 stars,0
115,Sujeet sujeetrajput,"
कॉल पर बात करते समय आवाज खराब है


मैंने यह कॉलिंग के लिए लिया था कॉलिंग के समय आवाज साफ नहीं आती है
",3.0 out of 5 stars,1
116,Ajay kashyap,"
Thik thak 👌👌


Sound good battery🔋 good  thik thak 👌👌
",5.0 out of 5 stars,1
117,kishangogdiya,"
L airport karaab ho gya hai


L airport karaab ho gya hai
",1.0 out of 5 stars,0
118,sanjay,"
kharab h


mujhe ye lefty bala kharab mila h
",1.0 out of 5 stars,0
119,Gulshan singh,"
पैसा वसूल


बैटरी बैकअप और साउंड बहुत बढ़िया है
",5.0 out of 5 stars,1
120,Karan pundir,"
Game ya kuch options kholne pr jo voice aati hai wo earbuds tk thoda time lgta hai






                    The media could not be loaded.
                


",3.0 out of 5 stars,1
121,Nisanjeet Thayal,"
मत लेना कोई खराब हो जा रहा है


Charging problem..Power off on problem
",1.0 out of 5 stars,0
122,nitin,"
Jb dono year phone lgate h to chiiii chiii ki aawaj aati h


Not good not bed
",3.0 out of 5 stars,1
123,abcd,"
Bakvas


Isse achha to china ka mal ata he1200 rupe do or ullu bano
",1.0 out of 5 stars,0
124,Arsh Khan,"
Redailcall nhi hota he


Redailcall nhi hota he
",1.0 out of 5 stars,0
125,Rafik Mansuri,"
Bought because of bhuvan bam


Bought because of bhuvan bam
",5.0 out of 5 stars,1
126,ajay,"
Charjing prblm


Charjing prblm
",2.0 out of 5 stars,0
127,Ujjawal Sriwastava,"
Quality Is Awesome


Maza aa gya khareed k
",5.0 out of 5 stars,1
128,vipul Sonagara,"
यरफोन कान के लिए अच्छा नही है


या प्रॉडक्ट कान के लिये नही है और आपके कान के लिए अच्छा नही है
",3.0 out of 5 stars,1
129,Mohit Choudhary,"
Bahut achha hai


Vaice
",5.0 out of 5 stars,1
130,Anonymous,"
Sound is very low yau are charging money par bahut acchi awaaz nhi hai


Bass is good but sound is low
",1.0 out of 5 stars,0
131,Syed khairuddin,"
कम पैसा मे अच्छा प्रोडक्ट  बहुत बढ़िया


साउंड क्वालिटी अच्छा है और बाद भी बहुत अच्छा है।
",4.0 out of 5 stars,1
132,veena sharma,"
Bakvas


Bakvas
",1.0 out of 5 stars,0
133,karan lalkumar chandwani,"
मेरे प्रोडक्ट के साथ छेड़ छाड़ की गई हैं


मेरे प्रोडक्ट के साथ छेड़ छाड़ की गई हैं
",2.0 out of 5 stars,0
134,Naveen cheekatlla,"
Very bad


Bakwas product .. calling bakwas ..
",1.0 out of 5 stars,0
135,Susmita reddy 8464949000,"
Wahit product hai ye


Bakwwas product
",5.0 out of 5 stars,1
136,Manoj Pargi,"
Replace my earbuds


Mujhe sound Pasand Nahin Aaya
",1.0 out of 5 stars,0
137,Prathyusha,"
Maik kam nhi ke raha he


Maik kam nhi ke Raha he
",1.0 out of 5 stars,0
138,Mohit sinha,"
Thik price ke hisab se


Achhe hai
",3.0 out of 5 stars,1
139,Neeraj Sharma,"
Achcha nahi hi


Bekaar hi lena
",1.0 out of 5 stars,0
140,Bhawesh Kr,"
बेहतरीन


बेहतरीन
",5.0 out of 5 stars,1
141,nihal madhavi ,"
Super


बहुत ही अच्छा है
",5.0 out of 5 stars,1
142,Tushar Kolekar,"
This is not a good


Yeh bahut bekar h plz isko le jao iski jage dusri mgwa lunga
",1.0 out of 5 stars,0
143,Arjun Sunil,"
speakr khrb ho gyaaa hh


speaking problem hhhh 1month hou hh
",5.0 out of 5 stars,1
144,Amazon Customer,"
ठीक ठाक है


Average है
",4.0 out of 5 stars,1
145,kaka ji,"
Sahi hai


Iss price mai ₹1000
",5.0 out of 5 stars,1
