,Number,Name,Review,Stars,Sug/Com
17,1708,Jatin vashisth,"
Good sound, better nosie cancellation, mic is also good , ,


Bhai budget wise achi chiz hai long span tak achi chal sakti hai agar product ko dhang se care karke rakte hai to 2 se 3 saal tak ache se chal sakti mujhe use karte lagabh saal hone wala hai aab tak koi dikat nahi aayi hai, product bhot sahi laga mujhe,,, 👍👍👍
",5.0 out of 5 stars,1
18,1755,Kb.S.R.,"
Fadu sound hai.


Mast hai sasta Sundar  tikou.Mast hai buy
",5.0 out of 5 stars,1
19,1819,Neeraj kumar,"
Bakwaas


Bahut hi gatiya earphone h .... earphone me voice aayegi to mic work nhi krta..or mic krta hai to earphone me sounds nhi aayegi
",1.0 out of 5 stars,0
20,1841,Neha Karmare,"
Acha hai


Acha hai bas Thoda ear me pain hota h use krte time
",4.0 out of 5 stars,1
21,2077,salif ameed,"
Osm


Aap Sabhi se purchase karo sach mein bahut Achcha product hai aur Maine yah 3 sal pahle mar gaya tha ab tak chal raha hai bahut hi jyada accha product hai
",5.0 out of 5 stars,1
22,2097,Amazon Customer,"
Good product at this price.


Bhai log. Agar pubg khelte ho to isko Le skte ho.But agar Paise jyada hai to I will definitely consider realme Buds 2.
",4.0 out of 5 stars,1
23,2224,swati sharma,"
Money waste


Bht hi bekar quality hai... China k item see jyada bekar .. connect karn k baad phone ko detect nhi karta asani se ...and major problem call karte tym it jyada noise aata hai u can't hear anything..
",1.0 out of 5 stars,0
24,2232,CHANDRAKANT PATIL,"
ग्रेट


व्हॉइस कॉल के लिए ठीक नही है लेकिन हिंदी सॉन्ग के लिए बहुत बढीया हे बास बहुत बढीया नंबर वन है
",5.0 out of 5 stars,1
25,2311,anil Kumar Gupta,"
बहुत ही बढ़िया हेडफोन है


साउंड क्वालिटी बहुत ही अच्छा है एक बार यूज करके देखें
",5.0 out of 5 stars,1
26,2319,Kkc,"
Padhlo kuchh achhe ke liye






                    The media could not be loaded.
                



 Sahi hai sound quality badhaiyan hai bass descent hai khali jyada time tk lagen ke nahi rkh skte kyunki kano me dard hota hai
",3.0 out of 5 stars,1
27,2380,Mir samiul haque,"
bohot hi achha hai... 9.1 out of 10


bohot jabar dast hai compare to boat bass 225,172, sony mdr 250, jbl infinity 100zip,...bass to fadu hai...sound bohot accha balanced haibuilt quality jabardast hai..bohot hi comfortable hai...aur isse accha chahie to sony mdr 150 ap thora costly hai par a66a hai...💩💩💩
",5.0 out of 5 stars,1
28,2398,Dr. Anuradha Pandey,"
मुझे यह आर्डर नहीं डिलेवर किया गया है लेकिन इसे डिलेवर किया गया दिखा दिया है।


मुझे यह आर्डर नहीं डिलेवर किया गया है लेकिन इसे डिलेवर किया गया दिखा दिया है। कस्टमर केयर से बात करने या डिलेवरी ब्यवाय से बात करने या मैसेज करने का कोई विकल्प नहीं दिखा रहा। ऐसे में मैं क्या करूँ?
",1.0 out of 5 stars,0
29,2477,Abhijeet,"
Mic position upr ho aur sound ki sharpness kam ho


Mic ka position thoda uper hona chahiye ,abhi bat krne k liye mic ko upr uthana pdta hai,...sound me ek problem hai awaz sharp aati hai .high volume pe jb song sunte ho to smjh ata hai ...agr aap gaming kr rhe ho to best earphoneh is range me
",3.0 out of 5 stars,1
30,2541,Bhushan kumar,"
perfect quality,good sound


बहुत ही अच्छा प्रोडक्ट है । ओर आवाज भी अच्छी है
",5.0 out of 5 stars,1
31,2611,Ajit b.,"
Very bad product


Very bad productYe product maine liye huye 15-20 din huye ye ek side ka band pad gyaPlzz bhaiyo ye product me apna paisa barbad mat krna mat lena
",1.0 out of 5 stars,0
32,2673,Manish joshi,"
बेकार


15 दिन बाद ही इसके jack में प्रॉब्लम आ गयी जिसकी वजह से एक ही साइड के इयरफोन में आवाज आ रही है...बहुत ही बेकार अनुभव ...कोई दूसरा खरीद लो पर ये नही
",1.0 out of 5 stars,0
33,2756,gaukaran gangber,"
Good product


Acha laga quality thik thak
",4.0 out of 5 stars,1
34,2785,Naim Khan Pathan,"
This is worst product everk me shi se fit nhi hota adjust Krna pdta he baar baar ....


This is worst product ever...3.5mm jack me shi se fit nhi hota adjust Krna pdta he baar baar ....or aap isse voice cll nhi kr skte q ki iska microphone kafi dur rehta he and adjust problem also.
",1.0 out of 5 stars,0
35,2848,RAHUL SINGH,"
RAHUL SINGH


RAHUL SINGH
",5.0 out of 5 stars,1
36,2885,Sahiruddin,"
Aux jack not working


Ek number ka bhadda earphone hai.. please guys don’t purchase. Or iski service bhi bekar hai 😡
",1.0 out of 5 stars,0
37,3162,chandankushwah,"
Pubg ka sound thoda der se pahunchta hai bt mai


Pubg ka sound thoda der se pahunchta hai bt mai  baki sab thik hai
",4.0 out of 5 stars,1
38,3209,anil Kumar Gupta,"
बहुत ही बढ़िया हेडफोन है


सब कुछ बढ़िया है
",5.0 out of 5 stars,1
39,3264,Latif,"
Great ear phone


Accha ear phone maynay abhi talak 2 kharida hay and 8 se 9 month huchukay hay abhi tak kharab nahi hua hay
",5.0 out of 5 stars,1
40,3284,Sandeep Patel,"
Boult ne like ""c banaya bada maza aaya""😮🚬👓🚬


C banate he sale video me bhi or discribe kiya usne bhi jo connecter he vo flate dikha raha he par actually me esa kuchh he hi nahi or na hi vaha bola likha hua he ...game khel rahe he sale actual me jo mujhe mila or jo ye dikhaye bahut mismatching heBaki product okay okay he...
",4.0 out of 5 stars,1
41,3285,Diksha,"
Value for money average sound quality


ठीक ठाक प्रॉडक्ट है।।।कम दाम मैं एवरेज प्रोडक्ट।।उम्मीद के हिसाब से बढ़िया प्रोडक्ट है।Value for money💰 under  ₹260
",3.0 out of 5 stars,1
42,3674,Gaurav Jainwal,"
Connect hote hi Abeed sa sound karta hai.


Connect hote hi Abeed sa sound karta hai. Jaisa ki ki kharab ho gaya ho. purane TV  jaisa
",1.0 out of 5 stars,0
43,3815,Hiral,"
Service bad no ani service center


Mera 6 month kharb ho gaya or service vale ko me khud paise dale return kiya but nahi aye .....mat lo asi acha boat ka lo ....  ..
",1.0 out of 5 stars,0
44,3912,manoj prajapati,"
Very bad product  sound quality ke liye I give 2 star and sabse badi bat retur or refund nahi hai


sound quality ke liye I give 2 star and sabse badi bat return and refund facility nahi hai bekar  plz don't buy .
",1.0 out of 5 stars,0
45,3941,Desperado,"
Best headphones  in this price


Product  acha hai bhi or kya sona hai thumai
",5.0 out of 5 stars,1
46,4109,manoj baloni,"
बढ़िया है


मोबाइल से हर प्रकार की वोइस सुनने के लिए
",4.0 out of 5 stars,1
47,4346,Tushar,"
Superb


Sab Kuchh Achha Tha Bus Iske Jo volume button Hote hai Woh 1 week Mein khrab ho gye the
",5.0 out of 5 stars,1
48,4367,Nitin Koli,"
Bekar hai






                    The media could not be loaded.
                



 Pelhe ek buy ki toh usne mic ki dikkat thi usko exchange kiya toh isme bhi yahi problem ho raha hai
",1.0 out of 5 stars,0
49,4631,Amn7558,"
Noise cancelling is non


Ab ek ear se sunai deta hai or dusre ear se nahi ye mera experience hai iss earphone ke sath
",1.0 out of 5 stars,0
50,4637,Ashok yadav,"
Best go for it


Bhai. Akh band kar ka kha raha hu l lo chaya game khalna h, sound, gym
",5.0 out of 5 stars,1
51,4821,Nitin Devdhar,"
बैटरी बैकअप बहुत गंदा है आवाज सॉन्ग भी अच्छी नहीं है


बैटरी 40 पर्सेंट होते ही प्लीज चार्ज चार्जिंग के लिए बोलने लगता है और अपने आप ही कनेक्शन टूट जाता है बैटरी बहुत बेकार है
",1.0 out of 5 stars,0
52,4868,Amazon Customer,"
Lovely इस प्राइस में इससे बेस्ट नही मिलेगा


इस price में इससे ज्यादा और क्या लोगेसाउंड ठीक ठाक है bass भी सही हैमाइक को थोड़ा ऊपर लगाना चाहिये थाबाकी सब मस्त है
",4.0 out of 5 stars,1
53,4886,Raj kishor singh,"
अच्छा है


बहुत हो अच्छा सांउड बास है में दौ दिन प्रयोग किया है पुराने गाने सुनने में मज़ा नहीं आता है न्यू गाने सुनने में बहुत अच्छा लगा है
",4.0 out of 5 stars,1
