,Number,Name,Review,Stars,Sug/Com
18,1044,sandeep kataria,"
6 months bhi nahi chala


4 months mein finishWorst qualityNot worthy
",2.0 out of 5 stars,0
19,1147,Nitesh Sharma,"
Connectivity problem


After 8 month isske bluetooth connectivity me problem aa rahi hai or shure hone me bhi time leta hai...
",3.0 out of 5 stars,1
20,1182,रतनलाल जाट,"
छोटा-सा बहुत सुंदर है ।


छोटा-सा बहुत अच्छा रेडियो है । ब्लुटूथ और एफ एम बहुत अच्छे चलते हैं । आवाज़ मधुर है ।
",4.0 out of 5 stars,1
21,1256,Kuldeep K.,"
पैसे की बर्बादी है एमाजान से कुछ भी मत लो


हेमा जॉन से कुछ भी मत लो पैसे की बर्बादी है
",1.0 out of 5 stars,0
22,1319,Nemchand jain,"
15 din may hi kharab ho gaya hay


Y bilkul hi kharab hay jo 10 din chala uskay bad charg bhi nahi ho raha
",1.0 out of 5 stars,0
23,1423,YCK YASHU,"
जबरदस्त


मजेदार है। एकदम पैसा वसूल
",4.0 out of 5 stars,1
24,1424,Girish s.,"
Very good product


Sirf bass ki kami h
",5.0 out of 5 stars,1
25,1426,Amritesh Srivastava,"
The product is quit nice according to its price


जब मै इसे buy कर रहा था तो मुझे लगा शायद यह खराब होगा  मगर मै गलत था यह बहुत बढ़िया निकलाI like it
",4.0 out of 5 stars,1
26,1438,Arogya Yogshala,"
Good small portable bluetooth speaker


Badhiya quality hai . Aap bhi ess bluetooth ko le kar kahi bhi saath le ja sakte hain
",5.0 out of 5 stars,1
27,1507,AAKASH KUMAR SHARMA,"
Full voice karne par fatne lagta hai voice isme sudhar karo👍


Sound full karne par voice fatne lagti hai isme sudhar karo👍
",4.0 out of 5 stars,1
28,1558,Abhishek bhatnagar,"
Ek bhadiya Product


Very nice all over
",5.0 out of 5 stars,1
29,1592,phone jaanch karne wala,"
Fm तो बिल्कुल काम नहीं करता पावर ऑन ऑफ का बटन भी काम नहीं करते काम नहीं कर रहा


Bad items
",1.0 out of 5 stars,0
30,1623,Sunil Kumar,"
Bluetooth connect nahin ho raha hai


Bluetooth connect nahin ho raha hai
",1.0 out of 5 stars,0
31,1634,Mithun,"
Battery Nahin Chalti Hai


Yeah Bluetooth ki battery kharab, ho gai hai battery 30 40 minut chalta hai
",5.0 out of 5 stars,1
32,1718,sadanand vakil,"
20 din mein kharab ho gayaa


20 din mein sound kharab ho gaya....
",1.0 out of 5 stars,0
33,1780,Manish kanoujia,"
Bekar iteam h 15 din bhi nahi chala


Bahut bekar item h 15 din me hi khrab ho gya h
",1.0 out of 5 stars,0
